id,product,campaign_type,campaign,channel,date,conversions
1,product a,always on,always on,dv360 - prospecting,2020-01-01,2242.066235
2,product a,always on,always on,dv360 - prospecting,2020-01-02,2124.774283
3,product a,always on,always on,dv360 - prospecting,2020-01-03,2152.811603
4,product a,always on,always on,dv360 - prospecting,2020-01-04,2250.744981
5,product a,always on,always on,dv360 - prospecting,2020-01-05,2136.300511
6,product a,always on,always on,dv360 - prospecting,2020-01-06,4192.253401
7,product a,always on,always on,dv360 - prospecting,2020-01-07,1942.471935
8,product a,always on,always on,dv360 - prospecting,2020-01-08,2237.002576
9,product a,always on,always on,dv360 - prospecting,2020-01-09,2250.597207
10,product a,always on,always on,dv360 - prospecting,2020-01-10,2348.183036
11,product a,always on,always on,dv360 - prospecting,2020-01-11,2094.328477
12,product a,always on,always on,dv360 - prospecting,2020-01-12,2180.818709
13,product a,always on,always on,dv360 - prospecting,2020-01-13,3855.702268
14,product a,always on,always on,dv360 - prospecting,2020-01-14,2112.133891
15,product a,always on,always on,dv360 - prospecting,2020-01-15,2145.411203
16,product a,always on,always on,dv360 - prospecting,2020-01-16,2040.336136
17,product a,always on,always on,dv360 - prospecting,2020-01-17,1900.501339
18,product a,always on,always on,dv360 - prospecting,2020-01-18,2159.099853
19,product a,always on,always on,dv360 - prospecting,2020-01-19,2214.201052
20,product a,always on,always on,dv360 - prospecting,2020-01-20,4128.097748
21,product a,always on,always on,dv360 - prospecting,2020-01-21,2170.654141
22,product a,always on,always on,dv360 - prospecting,2020-01-22,2389.571293
23,product a,always on,always on,dv360 - prospecting,2020-01-23,1920.086525
24,product a,always on,always on,dv360 - prospecting,2020-01-24,2090.862268
25,product a,always on,always on,dv360 - prospecting,2020-01-25,2287.030625
26,product a,always on,always on,dv360 - prospecting,2020-01-26,2185.02556
27,product a,always on,always on,dv360 - prospecting,2020-01-27,4243.117834
28,product a,always on,always on,dv360 - prospecting,2020-01-28,2086.35415
29,product a,always on,always on,dv360 - prospecting,2020-01-29,2138.738859
30,product a,always on,always on,dv360 - prospecting,2020-01-30,2172.782359
31,product a,always on,always on,dv360 - prospecting,2020-01-31,2244.273602
32,product a,always on,always on,dv360 - prospecting,2020-02-01,2187.755932
33,product a,always on,always on,dv360 - prospecting,2020-02-02,2024.939589
34,product a,always on,always on,dv360 - prospecting,2020-02-03,3934.230302
35,product a,always on,always on,dv360 - prospecting,2020-02-04,2228.710727
36,product a,always on,always on,dv360 - prospecting,2020-02-05,2019.75051
37,product a,always on,always on,dv360 - prospecting,2020-02-06,2267.542778
38,product a,always on,always on,dv360 - prospecting,2020-02-07,2248.81922
39,product a,always on,always on,dv360 - prospecting,2020-02-08,2132.752411
40,product a,always on,always on,dv360 - prospecting,2020-02-09,1953.36962
41,product a,always on,always on,dv360 - prospecting,2020-02-10,4054.665091
42,product a,always on,always on,dv360 - prospecting,2020-02-11,2416.377978
43,product a,always on,always on,dv360 - prospecting,2020-02-12,2165.67187
44,product a,always on,always on,dv360 - prospecting,2020-02-13,2176.659427
45,product a,always on,always on,dv360 - prospecting,2020-02-14,2287.411266
46,product a,always on,always on,dv360 - prospecting,2020-02-15,2142.01937
47,product a,always on,always on,dv360 - prospecting,2020-02-16,2107.212453
48,product a,always on,always on,dv360 - prospecting,2020-02-17,4188.431533
49,product a,always on,always on,dv360 - prospecting,2020-02-18,2018.730911
50,product a,always on,always on,dv360 - prospecting,2020-02-19,2169.370474
51,product a,always on,always on,dv360 - prospecting,2020-02-20,1967.061542
52,product a,always on,always on,dv360 - prospecting,2020-02-21,2281.548521
53,product a,always on,always on,dv360 - prospecting,2020-02-22,2083.71747
54,product a,always on,always on,dv360 - prospecting,2020-02-23,2202.27459
55,product a,always on,always on,dv360 - prospecting,2020-02-24,4118.938732
56,product a,always on,always on,dv360 - prospecting,2020-02-25,2189.792133
57,product a,always on,always on,dv360 - prospecting,2020-02-26,2098.098913
58,product a,always on,always on,dv360 - prospecting,2020-02-27,2125.623662
59,product a,always on,always on,dv360 - prospecting,2020-02-28,2167.403694
60,product a,always on,always on,dv360 - prospecting,2020-02-29,2265.105494
61,product a,always on,always on,dv360 - prospecting,2020-03-01,2277.234472
62,product a,always on,always on,dv360 - prospecting,2020-03-02,3979.751621
63,product a,always on,always on,dv360 - prospecting,2020-03-03,2019.575182
64,product a,always on,always on,dv360 - prospecting,2020-03-04,1979.6195
65,product a,always on,always on,dv360 - prospecting,2020-03-05,2151.943197
66,product a,always on,always on,dv360 - prospecting,2020-03-06,2265.347948
67,product a,always on,always on,dv360 - prospecting,2020-03-07,2118.543932
68,product a,always on,always on,dv360 - prospecting,2020-03-08,2136.750199
69,product a,always on,always on,dv360 - prospecting,2020-03-09,3873.746841
70,product a,always on,always on,dv360 - prospecting,2020-03-10,2086.578422
71,product a,always on,always on,dv360 - prospecting,2020-03-11,2269.534733
72,product a,always on,always on,dv360 - prospecting,2020-03-12,2125.546863
73,product a,always on,always on,dv360 - prospecting,2020-03-13,2310.709049
74,product a,always on,always on,dv360 - prospecting,2020-03-14,2173.394752
75,product a,always on,always on,dv360 - prospecting,2020-03-15,2028.375737
76,product a,always on,always on,dv360 - prospecting,2020-03-16,3992.61882
77,product a,always on,always on,dv360 - prospecting,2020-03-17,2191.048152
78,product a,always on,always on,dv360 - prospecting,2020-03-18,2256.143403
79,product a,always on,always on,dv360 - prospecting,2020-03-19,2052.710723
80,product a,always on,always on,dv360 - prospecting,2020-03-20,2275.486183
81,product a,always on,always on,dv360 - prospecting,2020-03-21,2238.400337
82,product a,always on,always on,dv360 - prospecting,2020-03-22,2292.178241
83,product a,always on,always on,dv360 - prospecting,2020-03-23,4014.825153
84,product a,always on,always on,dv360 - prospecting,2020-03-24,2304.865099
85,product a,always on,always on,dv360 - prospecting,2020-03-25,2331.661034
86,product a,always on,always on,dv360 - prospecting,2020-03-26,2110.14565
87,product a,always on,always on,dv360 - prospecting,2020-03-27,1968.220907
88,product a,always on,always on,dv360 - prospecting,2020-03-28,2107.017558
89,product a,always on,always on,dv360 - prospecting,2020-03-29,2151.966854
90,product a,always on,always on,dv360 - prospecting,2020-03-30,3860.809137
91,product a,always on,always on,dv360 - prospecting,2020-03-31,2209.764648
92,product a,always on,always on,dv360 - prospecting,2020-04-01,2128.948514
93,product a,always on,always on,dv360 - prospecting,2020-04-02,2197.672849
94,product a,always on,always on,dv360 - prospecting,2020-04-03,1989.362155
95,product a,always on,always on,dv360 - prospecting,2020-04-04,2035.309224
96,product a,always on,always on,dv360 - prospecting,2020-04-05,2052.385145
97,product a,always on,always on,dv360 - prospecting,2020-04-06,4101.898305
98,product a,always on,always on,dv360 - prospecting,2020-04-07,2234.382188
99,product a,always on,always on,dv360 - prospecting,2020-04-08,2172.883823
100,product a,always on,always on,dv360 - prospecting,2020-04-09,2312.499503
101,product a,always on,always on,dv360 - prospecting,2020-04-10,2227.905872
102,product a,always on,always on,dv360 - prospecting,2020-04-11,2120.09639
103,product a,always on,always on,dv360 - prospecting,2020-04-12,1996.064369
104,product a,always on,always on,dv360 - prospecting,2020-04-13,4021.413397
105,product a,always on,always on,dv360 - prospecting,2020-04-14,2047.909155
106,product a,always on,always on,dv360 - prospecting,2020-04-15,2059.967674
107,product a,always on,always on,dv360 - prospecting,2020-04-16,2341.356679
108,product a,always on,always on,dv360 - prospecting,2020-04-17,2316.271936
109,product a,always on,always on,dv360 - prospecting,2020-04-18,2223.660978
110,product a,always on,always on,dv360 - prospecting,2020-04-19,2214.124978
111,product a,always on,always on,dv360 - prospecting,2020-04-20,4124.72371
112,product a,always on,always on,dv360 - prospecting,2020-04-21,2224.117269
113,product a,always on,always on,dv360 - prospecting,2020-04-22,2292.107372
114,product a,always on,always on,dv360 - prospecting,2020-04-23,2248.700959
115,product a,always on,always on,dv360 - prospecting,2020-04-24,2196.119045
116,product a,always on,always on,dv360 - prospecting,2020-04-25,2017.807795
117,product a,always on,always on,dv360 - prospecting,2020-04-26,2096.148706
118,product a,always on,always on,dv360 - prospecting,2020-04-27,3734.430999
119,product a,always on,always on,dv360 - prospecting,2020-04-28,2018.652323
120,product a,always on,always on,dv360 - prospecting,2020-04-29,2097.808889
121,product a,always on,always on,dv360 - prospecting,2020-04-30,2216.766154
122,product a,always on,always on,dv360 - prospecting,2020-05-01,2109.682411
123,product a,always on,always on,dv360 - prospecting,2020-05-02,2076.763472
124,product a,always on,always on,dv360 - prospecting,2020-05-03,2128.752526
125,product a,always on,always on,dv360 - prospecting,2020-05-04,3903.608099
126,product a,always on,always on,dv360 - prospecting,2020-05-05,2074.292255
127,product a,always on,always on,dv360 - prospecting,2020-05-06,2327.795965
128,product a,always on,always on,dv360 - prospecting,2020-05-07,2031.62295
129,product a,always on,always on,dv360 - prospecting,2020-05-08,2167.505348
130,product a,always on,always on,dv360 - prospecting,2020-05-09,2142.580352
131,product a,always on,always on,dv360 - prospecting,2020-05-10,2040.864795
132,product a,always on,always on,dv360 - prospecting,2020-05-11,4075.073091
133,product a,always on,always on,dv360 - prospecting,2020-05-12,2059.091483
134,product a,always on,always on,dv360 - prospecting,2020-05-13,2223.564162
135,product a,always on,always on,dv360 - prospecting,2020-05-14,2175.828122
136,product a,always on,always on,dv360 - prospecting,2020-05-15,2167.143521
137,product a,always on,always on,dv360 - prospecting,2020-05-16,2142.351741
138,product a,always on,always on,dv360 - prospecting,2020-05-17,2294.844358
139,product a,always on,always on,dv360 - prospecting,2020-05-18,4122.971878
140,product a,always on,always on,dv360 - prospecting,2020-05-19,2156.748085
141,product a,always on,always on,dv360 - prospecting,2020-05-20,2151.408054
142,product a,always on,always on,dv360 - prospecting,2020-05-21,2471.974864
143,product a,always on,always on,dv360 - prospecting,2020-05-22,2161.512595
144,product a,always on,always on,dv360 - prospecting,2020-05-23,2069.408192
145,product a,always on,always on,dv360 - prospecting,2020-05-24,2162.096285
146,product a,always on,always on,dv360 - prospecting,2020-05-25,3932.733732
147,product a,always on,always on,dv360 - prospecting,2020-05-26,2240.055454
